|FPs| = 2893
424, 990, 493, 198, 527 : 100
194, 424, 990, 493, 198 : 100
194, 424, 990, 493, 198, 527 : 100
493, 73, 424 : 100
493, 73, 198, 424 : 100
493, 194, 73, 424 : 100
424, 493, 73, 198, 194 : 100
493, 73, 424, 527 : 100
194, 424, 493, 73, 527 : 100
424, 493, 73, 198, 527 : 100
194, 424, 493, 73, 198, 527 : 100
493, 73, 424, 990 : 100
424, 990, 493, 73, 527 : 100
424, 990, 493, 73, 194 : 100
424, 990, 493, 73, 194, 527 : 100
424, 990, 493, 73, 198 : 100
194, 424, 990, 493, 73, 198 : 100
424, 990, 493, 73, 198, 527 : 100
194, 424, 990, 493, 73, 198, 527 : 100
493, 424, 990 : 101
493, 260 : 102
493, 402 : 102
493, 402, 527 : 100
493, 402, 194 : 100
493, 402, 194, 527 : 100
493, 402, 990 : 100
493, 402, 194, 990 : 100
493, 402, 527, 990 : 100
402, 194, 990, 493, 527 : 100
493, 402, 198 : 100
493, 402, 198, 990 : 100
493, 402, 194, 198 : 100
402, 990, 493, 198, 194 : 100
493, 402, 198, 527 : 100
402, 194, 493, 198, 527 : 100
402, 990, 493, 198, 527 : 100
402, 194, 990, 493, 198, 527 : 100
493, 402, 73 : 100
493, 402, 73, 198 : 100
493, 402, 73, 990 : 100
402, 990, 493, 73, 198 : 100
493, 402, 73, 194 : 100
402, 990, 493, 73, 194 : 100
402, 493, 73, 198, 194 : 100
402, 990, 493, 73, 198, 194 : 100
493, 402, 73, 527 : 100
402, 194, 493, 73, 527 : 100
402, 990, 493, 73, 527 : 100
402, 194, 990, 493, 73, 527 : 100
402, 493, 73, 198, 527 : 100
402, 990, 493, 73, 198, 527 : 100
402, 194, 493, 73, 198, 527 : 100
402, 194, 990, 493, 73, 198, 527 : 100
493, 33 : 102
493, 33, 527 : 100
493, 33, 194 : 100
493, 33, 194, 527 : 100
493, 33, 990 : 100
493, 33, 194, 990 : 100
493, 33, 527, 990 : 100
33, 194, 990, 493, 527 : 100
493, 33, 198 : 100
493, 33, 198, 990 : 100
493, 194, 33, 198 : 100
33, 990, 493, 198, 194 : 100
493, 33, 198, 527 : 100
33, 194, 493, 198, 527 : 100
33, 990, 493, 198, 527 : 100
33, 194, 990, 493, 198, 527 : 100
493, 33, 73 : 100
493, 33, 198, 73 : 100
493, 33, 990, 73 : 100
33, 990, 493, 73, 198 : 100
493, 33, 194, 73 : 100
33, 990, 493, 73, 194 : 100
33, 493, 73, 198, 194 : 100
33, 990, 493, 73, 198, 194 : 100
493, 33, 527, 73 : 100
33, 194, 493, 73, 527 : 100
33, 990, 493, 73, 527 : 100
33, 194, 990, 493, 73, 527 : 100
33, 493, 73, 198, 527 : 100
33, 990, 493, 73, 198, 527 : 100
33, 194, 493, 73, 198, 527 : 100
33, 194, 990, 493, 73, 198, 527 : 100
493, 194 : 103
493, 194, 990 : 101
493, 198, 194 : 101
493, 198, 194, 990 : 101
493, 73, 194 : 101
493, 73, 198, 194 : 101
493, 73, 194, 990 : 101
990, 493, 73, 198, 194 : 101
493, 527 : 103
493, 194, 527 : 101
493, 527, 990 : 101
493, 194, 527, 990 : 101
493, 198, 527 : 101
493, 198, 527, 990 : 101
493, 194, 198, 527 : 101
990, 493, 198, 194, 527 : 101
493, 73, 527 : 101
493, 73, 198, 527 : 101
493, 73, 527, 990 : 101
990, 493, 73, 198, 527 : 101
493, 194, 73, 527 : 101
990, 493, 73, 194, 527 : 101
493, 73, 198, 194, 527 : 101
990, 493, 73, 198, 194, 527 : 101
493, 990 : 104
493, 73, 990 : 101
493, 73, 198, 990 : 101
493, 198, 990 : 102
493, 198 : 104
493, 73, 198 : 102
493, 73 : 105
216 : 172
569 : 174
250 : 174
53 : 174
422 : 176
848 : 176
300 : 177
595 : 177
576 : 178
279 : 178
376 : 179
376, 693 : 101
457 : 179
241 : 179
462 : 179
861 : 180
959 : 180
570, 959 : 101
101, 570, 959 : 101
845, 959 : 102
562, 845, 959 : 100
562, 101, 845, 959 : 100
845, 527, 959 : 100
101, 845, 527, 959 : 100
101, 845, 959 : 102
316, 959 : 105
562, 316, 959 : 101
562, 101, 316, 959 : 101
527, 316, 959 : 101
101, 527, 316, 959 : 101
218, 316, 959 : 102
218, 101, 316, 959 : 102
101, 316, 959 : 105
562, 959 : 108
562, 218, 959 : 101
562, 218, 101, 959 : 101
562, 527, 959 : 102
562, 101, 527, 959 : 102
562, 101, 959 : 104
527, 959 : 109
218, 527, 959 : 101
218, 101, 527, 959 : 101
101, 527, 959 : 105
101, 959 : 110
101, 218, 959 : 106
218, 959 : 115
811 : 180
60 : 180
676, 60 : 123
415 : 181
847 : 181
215 : 182
775 : 183
774 : 183
774, 52 : 101
177 : 184
148 : 184
866 : 185
195 : 185
759, 195 : 104
833 : 185
906 : 186
158 : 187
321 : 189
969 : 190
940 : 190
763 : 191
329 : 192
734 : 194
97 : 194
924 : 195
564 : 195
509 : 197
509, 193 : 114
895 : 198
7 : 198
430 : 199
375 : 199
375, 957 : 104
429 : 200
213 : 200
880 : 201
237, 880 : 132
386 : 202
211 : 202
926 : 203
273 : 205
912 : 205
174 : 205
35 : 205
35, 350 : 122
902 : 206
69 : 206
356 : 207
485 : 208
209 : 208
720 : 209
626 : 209
674, 626 : 117
38 : 211
24 : 211
487 : 212
939 : 212
572 : 212
384 : 213
530, 384 : 117
965 : 214
858, 965 : 104
613 : 215
589 : 215
716 : 216
365 : 216
365, 518 : 102
365, 439, 518 : 101
478, 365 : 104
365, 947 : 108
365, 947, 439 : 101
365, 439 : 112
125 : 216
883 : 217
830, 883 : 101
883, 723 : 113
865 : 217
831 : 218
315 : 218
814 : 218
609 : 218
623 : 219
854 : 220
854, 767 : 126
535 : 220
218, 535 : 111
247 : 220
247, 369 : 104
915, 247 : 107
186 : 220
791 : 221
266 : 222
905 : 222
65 : 222
65, 922 : 104
65, 471 : 104
65, 796, 471 : 101
65, 16 : 119
65, 16, 580 : 113
65, 16, 580, 796 : 112
65, 16, 796 : 117
65, 796 : 122
65, 796, 580 : 117
65, 580 : 139
825 : 223
171 : 223
448 : 224
913 : 225
964 : 226
724 : 226
846 : 228
395 : 229
4 : 229
829 : 230
359 : 230
218, 359 : 101
225 : 231
439, 225 : 112
709 : 231
709, 947 : 104
897 : 231
515 : 231
433 : 232
691 : 232
516 : 233
253 : 233
284, 253 : 119
459 : 233
459, 199 : 107
358 : 233
420, 358 : 122
408 : 234
425 : 234
336 : 236
336, 530 : 128
416 : 237
401 : 238
207 : 238
764, 207 : 101
115 : 238
904 : 239
517 : 239
517, 723 : 101
592 : 239
218, 592 : 105
19 : 239
706 : 240
109 : 240
109, 369 : 101
379 : 241
240, 379 : 104
624 : 241
2 : 241
308 : 242
418 : 242
916, 418 : 100
282 : 242
681 : 243
681, 181 : 103
830, 681 : 104
333 : 243
137 : 243
721, 137 : 120
832 : 244
140 : 244
495, 140 : 104
128 : 244
656 : 245
25 : 245
712 : 246
454 : 246
240, 454 : 109
259 : 246
444 : 248
470 : 249
470, 530 : 108
470, 355 : 142
531 : 250
922, 531 : 111
106 : 251
573 : 252
732 : 252
492 : 252
511, 492 : 113
885 : 252
522 : 253
260, 522 : 100
424, 522 : 101
424, 522, 527 : 100
198, 522 : 103
198, 522, 990 : 101
73, 522 : 103
73, 522, 527 : 100
33, 522 : 103
522, 527 : 105
402, 522 : 106
194, 522 : 114
522, 990 : 139
727 : 253
727, 798 : 105
727, 798, 541 : 101
727, 111 : 105
727, 111, 44 : 100
727, 541, 111, 44 : 100
727, 111, 541 : 102
727, 495 : 107
727, 55 : 109
727, 44, 55 : 104
727, 541, 44, 55 : 104
727, 541, 55 : 107
727, 369 : 111
727, 541, 369 : 105
727, 44 : 116
727, 44, 541 : 112
727, 541 : 168
296 : 254
976 : 254
142 : 255
818 : 256
818, 350 : 104
346 : 257
339 : 257
269 : 257
113, 269 : 105
733 : 258
954 : 258
858, 954 : 108
929 : 258
942 : 258
973 : 258
367 : 259
353 : 260
672 : 261
736 : 263
751 : 264
581 : 264
900 : 265
900, 770 : 102
271 : 266
916 : 266
750 : 267
420, 750 : 117
224 : 267
224, 598 : 103
316 : 269
570, 316 : 100
845, 316 : 102
101, 316 : 107
101, 562, 316 : 101
101, 527, 316 : 102
101, 218, 316 : 104
562, 316 : 112
562, 218, 316 : 100
562, 527, 316 : 104
218, 316 : 123
218, 527, 316 : 108
884, 316 : 123
420, 316 : 133
527, 316 : 171
362 : 271
204 : 271
156 : 271
625 : 272
202 : 272
129 : 272
713 : 274
961 : 274
957, 961 : 101
795 : 274
830, 795 : 125
778 : 275
778, 603 : 117
743 : 275
409 : 278
776, 409 : 101
278 : 280
146, 278 : 100
508 : 284
660 : 288
741 : 289
741, 586 : 107
76, 741, 586 : 101
76, 776, 741, 586 : 101
776, 741, 586 : 103
693, 741 : 111
76, 741 : 112
76, 776, 741 : 102
776, 741 : 119
423 : 290
612 : 292
205, 612 : 105
275 : 293
879 : 293
431 : 293
923 : 293
761 : 295
518 : 297
478, 518 : 102
518, 947 : 102
518, 947, 439 : 100
518, 439 : 132
911 : 297
5 : 299
101 : 300
101, 570 : 101
101, 845 : 107
101, 562, 845 : 100
101, 845, 527 : 100
101, 218, 845 : 102
101, 420 : 108
101, 562 : 115
101, 562, 527 : 103
101, 218, 562 : 104
101, 527 : 150
101, 218, 527 : 111
101, 218 : 160
708 : 301
723, 708 : 123
472 : 302
420, 472 : 108
666 : 303
666, 309 : 112
570 : 303
570, 527 : 100
570, 845 : 102
562, 570 : 109
218, 570 : 127
131 : 303
311 : 306
182 : 306
139 : 306
139, 378 : 104
139, 530 : 106
652 : 307
652, 230 : 102
146, 652 : 114
286 : 307
9, 286 : 110
794 : 309
868 : 309
674 : 310
674, 922 : 102
674, 144 : 105
674, 693 : 111
690 : 310
901 : 310
291 : 314
291, 526 : 100
922, 291 : 100
144, 291 : 102
56, 291 : 102
693, 291 : 110
780 : 315
898, 780 : 165
169 : 316
160 : 318
235 : 319
723, 235 : 105
830, 235 : 138
301 : 319
301, 511 : 132
621 : 321
6 : 321
6, 404 : 100
6, 530 : 109
584 : 322
805 : 323
815 : 323
551 : 323
218, 551 : 119
772 : 324
404 : 324
404, 530 : 132
506 : 327
506, 530 : 115
505 : 328
475 : 329
194 : 329
578, 194 : 103
842, 194 : 104
260, 194 : 104
198, 260, 194 : 100
198, 260, 194, 990 : 100
260, 194, 990 : 101
424, 194 : 105
424, 198, 194 : 100
424, 73, 194 : 100
424, 73, 198, 194 : 100
424, 194, 990 : 100
424, 73, 194, 990 : 100
424, 198, 194, 990 : 100
194, 424, 990, 73, 198 : 100
424, 194, 527 : 100
424, 990, 194, 527 : 100
424, 73, 194, 527 : 100
424, 990, 73, 194, 527 : 100
424, 198, 194, 527 : 100
194, 424, 73, 198, 527 : 100
194, 424, 990, 198, 527 : 100
194, 424, 990, 73, 198, 527 : 100
33, 424, 194 : 100
198, 194 : 106
33, 198, 194 : 100
33, 198, 194, 527 : 100
33, 198, 194, 73 : 100
194, 33, 73, 198, 527 : 100
33, 198, 194, 990 : 100
194, 990, 33, 73, 198 : 100
194, 990, 33, 198, 527 : 100
194, 990, 33, 73, 198, 527 : 100
73, 198, 194 : 101
73, 198, 194, 990 : 101
198, 194, 527 : 101
73, 198, 194, 527 : 101
198, 990, 194, 527 : 101
194, 990, 73, 198, 527 : 101
402, 198, 194 : 101
402, 198, 194, 527 : 100
402, 194, 990, 198, 527 : 100
402, 198, 194, 73 : 100
402, 194, 73, 198, 527 : 100
402, 194, 990, 73, 198 : 100
402, 194, 990, 73, 198, 527 : 100
402, 198, 194, 990 : 101
198, 194, 990 : 104
73, 194 : 108
73, 194, 990 : 101
33, 73, 194, 990 : 100
402, 73, 194, 990 : 100
73, 194, 527 : 101
33, 73, 194, 527 : 100
990, 33, 73, 194, 527 : 100
402, 73, 194, 527 : 100
402, 990, 73, 194, 527 : 100
73, 990, 194, 527 : 101
33, 73, 194 : 102
402, 73, 194 : 103
194, 990 : 114
33, 194, 990 : 100
33, 527, 194, 990 : 100
527, 194, 990 : 101
402, 527, 194, 990 : 100
402, 194, 990 : 103
194, 527 : 114
33, 194, 527 : 100
402, 194, 527 : 100
402, 194 : 116
402, 33, 194 : 101
33, 194 : 142
993 : 332
776, 993 : 112
526 : 332
349, 526 : 102
693, 526 : 110
126 : 332
105 : 334
693, 105 : 117
530, 105 : 135
804 : 336
634 : 336
634, 116 : 120
74, 634 : 141
826 : 338
629 : 339
844 : 339
844, 146 : 101
650 : 341
146, 650 : 101
562, 650 : 122
830, 650 : 150
54 : 341
424 : 343
842, 424 : 100
578, 424 : 103
578, 198, 424 : 100
578, 424, 990 : 100
578, 198, 424, 990 : 100
260, 424 : 104
198, 424 : 107
198, 424, 527 : 100
198, 990, 424, 527 : 100
73, 198, 424 : 100
73, 198, 424, 527 : 100
73, 198, 424, 990 : 100
424, 990, 73, 198, 527 : 100
33, 198, 424 : 101
33, 198, 424, 990 : 100
198, 424, 990 : 102
424, 527 : 109
990, 424, 527 : 101
73, 990, 424, 527 : 100
73, 424, 527 : 102
33, 424, 527 : 102
73, 424 : 113
73, 424, 990 : 102
33, 73, 424 : 102
402, 73, 424 : 104
402, 424 : 131
402, 424, 990 : 100
402, 33, 424 : 100
424, 990 : 133
33, 424, 990 : 103
33, 424 : 155
524 : 344
770 : 345
770, 938 : 102
770, 721 : 132
317 : 346
317, 580 : 101
16, 317 : 106
922, 317 : 108
317, 471 : 112
317, 796, 471 : 100
317, 796 : 114
193 : 346
193, 420 : 103
193, 721 : 142
640 : 347
754 : 347
776, 754 : 120
820 : 348
820, 530 : 107
512 : 349
528 : 351
528, 886 : 103
574 : 351
796, 574 : 103
562, 574 : 114
574, 369 : 115
989 : 351
11 : 351
11, 721 : 101
11, 915 : 102
11, 957 : 110
347 : 352
218, 347 : 111
347, 369 : 115
999 : 352
642 : 354
642, 264 : 132
468, 642, 264 : 127
468, 642, 662, 264 : 125
830, 642, 468, 662, 264 : 124
468, 801, 642, 264 : 125
642, 264, 468, 662, 801 : 123
830, 642, 264, 468, 662, 801 : 122
830, 642, 264, 468, 801 : 124
468, 830, 642, 264 : 126
642, 264, 47 : 127
468, 642, 264, 47 : 124
801, 642, 468, 264, 47 : 122
801, 642, 830, 468, 264, 47 : 121
642, 468, 662, 264, 47 : 122
801, 642, 468, 662, 264, 47 : 120
801, 642, 830, 468, 662, 264, 47 : 119
830, 642, 468, 662, 264, 47 : 121
830, 642, 468, 264, 47 : 123
642, 662, 264, 47 : 125
830, 642, 662, 264, 47 : 124
801, 642, 264, 47 : 125
642, 264, 662, 801, 47 : 123
830, 642, 264, 662, 801, 47 : 122
830, 642, 264, 801, 47 : 124
830, 642, 264, 47 : 126
801, 642, 264 : 128
801, 642, 264, 830 : 127
642, 662, 264 : 128
801, 642, 662, 264 : 126
830, 642, 264, 662, 801 : 125
830, 642, 662, 264 : 127
830, 642, 264 : 129
468, 642 : 136
468, 642, 801 : 128
468, 642, 801, 47 : 125
830, 642, 468, 801, 47 : 123
642, 468, 662, 801, 47 : 123
830, 642, 468, 662, 801, 47 : 121
468, 642, 662, 801 : 126
468, 830, 642, 801 : 126
830, 642, 468, 662, 801 : 124
468, 642, 47 : 129
468, 642, 662, 47 : 126
468, 830, 642, 47 : 126
830, 642, 468, 662, 47 : 124
468, 642, 662 : 130
468, 830, 642, 662 : 128
468, 830, 642 : 131
642, 801 : 146
830, 642, 801 : 130
830, 642, 801, 47 : 127
830, 642, 662, 801, 47 : 125
830, 642, 662, 801 : 128
642, 801, 47 : 139
642, 662, 801, 47 : 137
642, 662, 801 : 142
830, 642 : 159
830, 642, 662 : 135
830, 642, 662, 47 : 130
830, 642, 47 : 136
642, 47 : 167
642, 662, 47 : 157
642, 662 : 169
86 : 354
264 : 355
662, 264 : 139
801, 662, 264 : 132
801, 662, 264, 47 : 129
830, 264, 662, 801, 47 : 128
801, 662, 264, 830 : 131
468, 662, 264 : 132
468, 801, 662, 264 : 128
830, 264, 468, 662, 801 : 127
468, 662, 264, 47 : 128
801, 468, 662, 264, 47 : 125
801, 830, 468, 662, 264, 47 : 124
830, 468, 662, 264, 47 : 127
468, 830, 662, 264 : 130
662, 264, 47 : 132
830, 662, 264, 47 : 131
830, 662, 264 : 134
264, 47 : 139
468, 264, 47 : 131
468, 801, 264, 47 : 128
830, 264, 468, 801, 47 : 127
468, 830, 264, 47 : 130
801, 264, 47 : 133
801, 264, 47, 830 : 131
830, 264, 47 : 135
801, 264 : 140
468, 801, 264 : 131
468, 801, 264, 830 : 130
801, 264, 830 : 135
468, 264 : 142
468, 830, 264 : 134
830, 264 : 151
679 : 355
218, 679 : 120
322 : 355
957, 322 : 108
26 : 355
163 : 356
117, 163 : 101
163, 884 : 129
639 : 359
992 : 360
406 : 360
406, 355 : 105
406, 530 : 107
806 : 360
664, 806 : 108
59 : 360
59, 28 : 108
753, 59 : 109
280, 59 : 145
856 : 362
856, 938 : 101
856, 664 : 126
856, 957 : 163
702 : 362
702, 369 : 110
702, 530 : 137
578 : 362
439, 578 : 100
842, 578 : 101
260, 578 : 105
578, 990 : 107
73, 578, 990 : 100
198, 578, 990 : 101
402, 578 : 109
33, 578 : 109
33, 73, 578 : 100
578, 527 : 115
73, 578, 527 : 100
198, 578, 527 : 101
198, 578 : 122
73, 198, 578 : 100
73, 578 : 126
510 : 363
369, 510 : 104
555 : 363
305 : 363
218, 305 : 112
934 : 364
934, 52 : 119
915, 934 : 127
469 : 365
441 : 365
218, 441 : 104
914 : 366
776, 914 : 102
388 : 368
29 : 368
350, 29 : 107
957, 29 : 113
450 : 369
450, 230 : 118
664, 450, 230 : 107
957, 664, 450, 230 : 103
664, 957, 450, 230, 284 : 102
664, 450, 284, 230 : 105
450, 284, 230 : 108
957, 450, 230 : 108
957, 450, 284, 230 : 104
664, 450 : 129
957, 664, 450 : 111
957, 664, 450, 284 : 106
664, 450, 284 : 113
450, 284 : 131
957, 450, 284 : 111
957, 450 : 152
745 : 369
693, 745 : 103
745, 369 : 103
723, 745 : 105
938, 745 : 105
721, 745 : 128
181 : 371
721, 181 : 102
723, 181 : 108
830, 181 : 167
603 : 373
603, 382 : 127
603, 369 : 128
858 : 375
218, 858 : 111
630 : 375
630, 554 : 102
630, 633 : 106
630, 523 : 107
630, 938 : 107
630, 172 : 136
630, 56, 172 : 100
630, 56 : 157
144 : 378
123, 144 : 101
144, 933 : 106
922, 144 : 110
144, 349 : 114
693, 144 : 138
112 : 379
957, 112 : 115
948, 112 : 124
711 : 380
711, 983 : 110
33, 711 : 117
79 : 380
79, 542 : 103
79, 116 : 108
957, 79 : 118
79, 369 : 121
554 : 382
554, 990 : 100
554, 178 : 101
554, 633 : 103
554, 172 : 103
554, 141 : 105
554, 598 : 110
56, 554 : 115
218, 554 : 134
606 : 382
606, 530 : 108
753, 606 : 109
280, 606 : 167
785 : 383
530, 785 : 118
514 : 386
514, 369 : 116
514, 530 : 130
875 : 386
83 : 386
146, 83 : 144
633 : 387
56, 633 : 105
664, 633 : 106
523, 633 : 106
172, 633 : 113
767, 633 : 116
352 : 388
352, 369 : 127
821 : 388
218, 821 : 110
821, 39 : 110
830, 821 : 117
393 : 392
950, 393 : 113
950, 393, 723 : 100
950, 393, 739 : 101
950, 439, 393 : 102
739, 393 : 114
739, 393, 723 : 101
739, 439, 393 : 104
393, 723 : 116
439, 393, 723 : 104
439, 393 : 133
601 : 393
601, 420 : 102
601, 938 : 108
601, 281 : 129
568 : 394
461, 568 : 106
530, 568 : 114
218, 568 : 122
877 : 395
877, 369 : 110
813, 877 : 121
575 : 395
575, 355 : 102
575, 695 : 106
276 : 395
276, 369 : 101
957, 276 : 109
3 : 397
3, 767 : 101
3, 363 : 102
3, 776 : 119
3, 284 : 126
217 : 398
178, 217 : 105
218, 217 : 133
141, 217 : 154
155 : 398
155, 830 : 112
340 : 401
350, 340 : 105
340, 32 : 111
693, 340 : 119
490, 340 : 130
776, 340 : 162
951 : 404
683, 951 : 103
439, 951 : 132
586 : 404
490, 586 : 110
76, 586 : 112
776, 76, 586 : 103
776, 586 : 128
693, 586 : 157
579 : 407
635 : 408
635, 146 : 108
488 : 411
488, 957 : 100
488, 369 : 104
641 : 413
284, 641 : 123
363, 641 : 125
658 : 414
562, 658 : 100
658, 582 : 101
658, 683 : 105
813 : 415
813, 382 : 107
813, 541 : 108
178, 813 : 108
872 : 415
94 : 415
957, 94 : 103
688 : 417
687 : 418
687, 664 : 100
687, 230 : 102
687, 683 : 103
687, 284 : 105
950, 687 : 109
687, 957 : 109
198 : 419
198, 369 : 106
402, 198 : 107
402, 73, 198 : 100
402, 73, 198, 990 : 100
402, 198, 527 : 100
402, 73, 198, 527 : 100
402, 990, 198, 527 : 100
402, 990, 73, 198, 527 : 100
402, 198, 990 : 101
73, 198 : 110
73, 198, 527 : 101
73, 990, 198, 527 : 101
33, 73, 198 : 101
33, 73, 198, 527 : 100
33, 73, 198, 990 : 100
990, 33, 73, 198, 527 : 100
73, 198, 990 : 103
198, 527 : 113
260, 198, 527 : 101
990, 260, 198, 527 : 100
33, 198, 527 : 101
33, 990, 198, 527 : 100
990, 198, 527 : 104
33, 198 : 114
33, 260, 198 : 100
33, 260, 198, 990 : 100
33, 842, 198 : 100
33, 842, 198, 990 : 100
33, 198, 990 : 105
511, 198 : 132
260, 198 : 173
842, 260, 198 : 161
842, 260, 198, 990 : 161
260, 198, 990 : 167
842, 198 : 174
842, 198, 990 : 166
198, 990 : 197
968 : 420
968, 776 : 104
46 : 420
46, 830 : 106
28 : 422
205, 28 : 111
582 : 424
582, 146 : 101
582, 739 : 104
439, 582 : 105
582, 632 : 113
582, 230, 632 : 101
582, 683 : 115
582, 230 : 125
218, 582 : 133
888 : 424
915, 888 : 119
33, 888 : 125
391 : 430
391, 355 : 107
530, 391 : 114
391, 369 : 115
123 : 431
123, 349 : 103
562, 123 : 107
123, 947 : 110
693, 123 : 115
123, 369 : 123
933 : 432
922, 933 : 105
693, 933 : 146
133 : 433
218, 133 : 113
896, 133 : 139
98 : 437
218, 98 : 112
497, 98 : 121
349 : 438
922, 349 : 102
693, 349 : 124
580 : 438
580, 176 : 107
580, 471 : 113
922, 580, 471 : 100
922, 580, 796, 471 : 100
16, 580, 471 : 100
16, 580, 796, 471 : 100
580, 796, 471 : 108
16, 580 : 129
16, 580, 796 : 121
922, 580 : 130
922, 580, 796 : 102
580, 796 : 161
323 : 445
323, 369 : 104
363, 323 : 117
891 : 446
618 : 449
420, 618 : 103
473, 618 : 106
618, 530 : 115
830, 618 : 123
827 : 451
827, 152 : 100
693, 827 : 100
827, 683 : 102
439, 827 : 104
827, 896 : 106
237, 827 : 112
827, 530 : 126
619 : 461
949 : 463
949, 369 : 101
949, 938 : 101
16 : 464
16, 146 : 111
16, 922 : 111
16, 796, 922 : 102
16, 230 : 117
16, 218 : 118
16, 471 : 126
16, 796, 471 : 112
16, 796 : 210
320 : 471
707, 320 : 109
320, 9 : 110
615, 320 : 133
776, 320 : 139
320, 530 : 139
982 : 472
982, 723 : 131
439, 982, 723 : 106
439, 982 : 181
412 : 472
412, 723 : 103
412, 830 : 103
562, 412 : 121
58 : 474
58, 420 : 106
58, 176 : 138
414 : 475
562, 414 : 101
414, 22 : 101
414, 530 : 108
414, 280 : 111
414, 369 : 132
130 : 477
130, 767 : 100
130, 920 : 103
130, 481 : 107
130, 369 : 115
693, 130 : 139
894 : 480
369, 894 : 121
530, 894 : 139
49 : 480
49, 957 : 100
49, 632 : 104
49, 369 : 109
49, 176 : 113
49, 280 : 117
985 : 481
369, 985 : 100
33, 985 : 147
267 : 482
898, 267 : 108
834 : 482
834, 176 : 105
834, 664 : 114
834, 284 : 119
834, 896 : 144
834, 957 : 208
953 : 484
953, 889 : 123
953, 369 : 132
218, 953 : 139
497 : 484
497, 74 : 115
497, 284 : 126
497, 113 : 141
218, 497 : 184
845 : 486
146, 845 : 104
845, 542 : 105
845, 527 : 112
420, 845 : 120
562, 845 : 150
562, 218, 845 : 100
218, 845 : 171
739 : 487
739, 767 : 105
146, 739 : 106
739, 284 : 107
950, 739 : 110
950, 739, 723 : 100
950, 439, 739 : 101
218, 739 : 120
739, 723 : 139
439, 739, 723 : 117
439, 739 : 174
737 : 493
737, 530 : 110
737, 369 : 110
796, 737 : 116
737, 355 : 117
348 : 493
382, 348 : 102
685, 348 : 115
884, 348 : 115
896, 348 : 116
511, 348 : 120
530, 348 : 123
693, 348 : 129
218, 348 : 137
344 : 496
295, 344 : 101
344, 776 : 105
344, 957 : 105
344, 176 : 106
344, 915 : 110
344, 280 : 120
344, 632 : 130
675 : 498
863, 675 : 102
481, 675 : 102
511, 675 : 109
197, 675 : 117
896, 675 : 122
830, 675 : 133
40 : 498
218, 40 : 100
40, 369 : 104
721, 40 : 136
594 : 500
206, 594 : 103
369, 594 : 104
218, 594 : 119
786 : 500
786, 378 : 100
218, 786 : 138
335 : 502
335, 56 : 108
335, 767 : 122
335, 284 : 133
335, 374 : 142
335, 776 : 150
327 : 504
327, 369 : 114
374 : 506
374, 767 : 107
56, 374 : 107
117 : 506
764, 117 : 106
117, 9 : 110
218, 117 : 111
117, 355 : 119
47 : 510
801, 47 : 175
468, 801, 47 : 132
468, 662, 801, 47 : 128
